label,src_dir,row,col,num_points,mask,HH_0_0,HV_0_0,IA_0_0,FYI,MYI
2.002,./data/SAR/20180429_235956_canny.tif,452,4094,1,0,0.4313725490196078,0.0941176470588235,0.1303108813715916,0.20680440962314606,0.7931956052780151
2.306,./data/SAR/20180429_235956_canny.tif,453,4094,1,3,0.3019607843137254,0.0901960784313725,0.1303108813715916,0.22911611199378967,0.7708839774131775
2.27,./data/SAR/20180429_235956_canny.tif,455,4095,1,3,0.3490196078431372,0.1215686274509803,0.1303229388068704,0.3268623650074005,0.6731376051902771
1.736,./data/SAR/20180429_235956_canny.tif,456,4096,1,3,0.2823529411764706,0.0901960784313725,0.130334981282552,0.15249498188495636,0.8475050330162048
2.318,./data/SAR/20180429_235956_canny.tif,457,4096,1,3,0.3568627450980392,0.0980392156862745,0.130334981282552,0.0748707577586174,0.9251291751861572
3.334,./data/SAR/20180429_235956_canny.tif,458,4097,1,3,0.403921568627451,0.1098039215686274,0.1303470237582337,0.08424364030361176,0.915756344795227
3.116,./data/SAR/20180429_235956_canny.tif,459,4098,1,3,0.5019607843137255,0.1490196078431372,0.1303590811935125,0.06362573057413101,0.9363742470741272
2.317,./data/SAR/20180429_235956_canny.tif,460,4098,1,3,0.4941176470588235,0.1568627450980392,0.1303590811935125,0.04380732774734497,0.9561927318572998
2.154,./data/SAR/20180429_235956_canny.tif,462,4099,1,3,0.4745098039215686,0.1843137254901961,0.1303711236691942,0.03230173885822296,0.9676982164382935
2.433,./data/SAR/20180429_235956_canny.tif,463,4100,1,3,0.4549019607843137,0.2392156862745098,0.130383181104473,0.05002894997596741,0.9499710202217102
2.756,./data/SAR/20180429_235956_canny.tif,464,4101,1,3,0.3490196078431372,0.1725490196078431,0.1303952235801547,0.09812593460083008,0.9018740057945251
2.684,./data/SAR/20180429_235956_canny.tif,465,4101,1,3,0.3529411764705882,0.1568627450980392,0.1303952235801547,0.054806798696517944,0.9451932311058044
2.663,./data/SAR/20180429_235956_canny.tif,466,4102,1,3,0.4117647058823529,0.1372549019607843,0.1304072810154335,0.05466290935873985,0.9453370571136475
3.135,./data/SAR/20180429_235956_canny.tif,468,4103,1,3,0.4862745098039215,0.1725490196078431,0.1304193234911152,0.04041935130953789,0.959580659866333
2.73,./data/SAR/20180429_235956_canny.tif,469,4103,1,3,0.3529411764705882,0.2117647058823529,0.1304193234911152,0.058586880564689636,0.941413164138794
